"","diff","lwr","upr","p adj"
"Mid Impact:Spring-Low Impact:Spring",-1.7777338916677,-6.96873842550441,3.41327064216901,0.959818294222792
"High Impact:Spring-Low Impact:Spring",-1.05015146528601,-6.24115599912272,4.1408530685507,0.998667123430256
"Low Impact:Summer-Low Impact:Spring",-1.87660373721516,-7.06760827105187,3.31440079662155,0.945714425804379
"Mid Impact:Summer-Low Impact:Spring",-0.650292032649427,-5.41853416778968,4.11795010249082,0.999926688606599
"High Impact:Summer-Low Impact:Spring",-3.76666187868057,-8.53490401382082,1.00158025645968,0.209962014543046
"Low Impact:Fall-Low Impact:Spring",-4.59312181684668,-9.08866361430947,-0.0975800193838925,0.0424265829983518
"Mid Impact:Fall-Low Impact:Spring",-2.74635569213621,-7.241897489599,1.74918610532658,0.521298139686996
"High Impact:Fall-Low Impact:Spring",-5.52399301288617,-10.2922351480264,-0.755750877745921,0.0143652698313008
"High Impact:Spring-Mid Impact:Spring",0.727582426381691,-5.07613707820256,6.53130193096594,0.999961352052305
"Low Impact:Summer-Mid Impact:Spring",-0.0988698455474601,-5.90258935013171,5.70484965903679,0.999999999994677
"Mid Impact:Summer-Mid Impact:Spring",1.12744185901828,-4.30144062975464,6.55632434779119,0.998396093409694
"High Impact:Summer-Mid Impact:Spring",-1.98892798701287,-7.41781047578578,3.43995450176005,0.94164763429078
"Low Impact:Fall-Mid Impact:Spring",-2.81538792517898,-8.00639245901569,2.37561660865773,0.66643553796047
"Mid Impact:Fall-Mid Impact:Spring",-0.968621800468507,-6.15962633430522,4.2223827333682,0.999252154753063
"High Impact:Fall-Mid Impact:Spring",-3.74625912121847,-9.17514160999138,1.68262336755444,0.364445214207104
"Low Impact:Summer-High Impact:Spring",-0.826452271929151,-6.6301717765134,4.9772672326551,0.999898416580721
"Mid Impact:Summer-High Impact:Spring",0.399859432636585,-5.02902305613633,5.8287419214095,0.999999380840265
"High Impact:Summer-High Impact:Spring",-2.71651041339456,-8.14539290216747,2.71237207537836,0.750764603426795
"Low Impact:Fall-High Impact:Spring",-3.54297035156067,-8.73397488539738,1.64803418227604,0.378298652248165
"Mid Impact:Fall-High Impact:Spring",-1.6962042268502,-6.88720876068691,3.49480030698651,0.96933103471189
"High Impact:Fall-High Impact:Spring",-4.47384154760016,-9.90272403637307,0.955040941172753,0.170105270455322
"Mid Impact:Summer-Low Impact:Summer",1.22631170456574,-4.20257078420718,6.65519419333865,0.997120836640754
"High Impact:Summer-Low Impact:Summer",-1.8900581414654,-7.31894063023832,3.53882434730751,0.955913579991802
"Low Impact:Fall-Low Impact:Summer",-2.71651807963152,-7.90752261346823,2.47448645420519,0.705552613436598
"Mid Impact:Fall-Low Impact:Summer",-0.869751954921047,-6.06075648875776,4.32125257891566,0.999658810173259
"High Impact:Fall-Low Impact:Summer",-3.64738927567101,-9.07627176444392,1.7814932131019,0.398367359853204
"High Impact:Summer-Mid Impact:Summer",-3.11636984603114,-8.14253837344034,1.90979868137806,0.502199417051165
"Low Impact:Fall-Mid Impact:Summer",-3.94282978419725,-8.71107191933751,0.825412350942996,0.167105050222126
"Mid Impact:Fall-Mid Impact:Summer",-2.09606365948678,-6.86430579462703,2.67217847565347,0.855356049245022
"High Impact:Fall-Mid Impact:Summer",-4.87370098023674,-9.89986950764594,0.152467547172451,0.0626374595165021
"Low Impact:Fall-High Impact:Summer",-0.826459938166114,-5.59470207330637,3.94178219697414,0.999562470441318
"Mid Impact:Fall-High Impact:Summer",1.02030618654436,-3.74793594859589,5.78854832168461,0.998021885959367
"High Impact:Fall-High Impact:Summer",-1.7573311342056,-6.7834996616148,3.26883739320359,0.954849580198123
"Mid Impact:Fall-Low Impact:Fall",1.84676612471047,-2.64877567275232,6.34230792217326,0.894881526004642
"High Impact:Fall-Low Impact:Fall",-0.93087119603949,-5.69911333117974,3.83737093910076,0.998965499274408
"High Impact:Fall-Mid Impact:Fall",-2.77763732074996,-7.54587945589021,1.99060481439029,0.581470773369548
