"","HC_spring.95%","HC_summer.95%","HC_fall.95%","EP4_spring.95%","EP4_summer.95%","EP4_fall.95%","AT_spring.95%","AT_summer.95%","AT_fall.95%","HC_spring.40%","HC_summer.40%","HC_fall.40%","EP4_spring.40%","EP4_summer.40%","EP4_fall.40%","AT_spring.40%","AT_summer.40%","AT_fall.40%"
"HC_spring",NA,1.78,47.43,8.94,14.63,93.94,0.01,4.74,0.06,NA,0.12,2.31,0.14,1.37,46.87,0,0.02,0
"HC_summer",8.98,NA,97.29,0.22,29.54,54.24,0,1.42,0,0.1,NA,57.96,0,0.44,0.95,0,0,0
"HC_fall",14.63,21.24,NA,0.73,9.34,52.09,0,1.18,0.02,2.29,4.41,NA,0.03,0.21,10.47,0,0,0
"EP4_spring",3.24,0.02,1.07,NA,10.79,18.8,3.3,21.92,7.18,0.28,0,0.01,NA,3.16,0.67,0.54,0.88,1.03
"EP4_summer",18.02,4.18,11.8,43.19,NA,34.33,25.4,53.9,25.36,1.22,0.82,2.5,1.99,NA,1.68,5.1,5.42,4.03
"EP4_fall",56.2,3.53,54.52,11.16,10.19,NA,0.14,4.43,0.49,15.7,0.58,8.87,1.08,1.24,NA,0.01,0.05,0.08
"AT_spring",0.07,0,0.05,56.56,96.05,3.45,NA,89.61,43.66,0,0,0,2.29,35.56,0.01,NA,9.23,3.91
"AT_summer",0.59,0.05,0.36,8.53,11.96,1.81,3.6,NA,5.52,0.09,0.01,0.04,0.78,1.7,0.14,0.63,NA,1.06
"AT_fall",0.17,0,0.16,46.75,41.51,6.24,14.21,74.92,NA,0,0,0,2.03,12.82,0.02,2.36,4.01,NA
